collection_no,source_database,collection.authorizer,occurrence.genus_name,original.genus_reso,occurrence.reference_no,collection.reference_no,pubyr,collection_name,country,Continent,latlng_basis,paleolatdec,Lat Bin,paleolngdec,period,epoch,subepoch,stage,10_my_bin,FR2_bin,max_interval,min_interval,interval_base,interval_top,interval_midpoint,interpolated_base,interpolated_top,interpolated_mid,ma_max,ma_min,ma_mid,formation,lithology1
91375,ETE,M. Carrano,Afrovenator,,13778,13778,1994,In Abaka,Niger,Africa,based on nearby landmark,9.11,N1,1.38,Jurassic,,,,,,Middle Jurassic,Late/Upper Jurassic,175.6,145.5,160.55,,,0,175.6,145.5,160.55,Tiourarén,not reported
51747,ETE,M. Carrano,Bahariasaurus,,13775,13775,1934,Gebel Ghorâbi,Egypt,Africa,estimated from map,8.12,N1,24.12,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,claystone
51744,ETE,M. Carrano,Bahariasaurus,,13775,13906,1932,Gebel el Dist south (7p),Egypt,Africa,based on nearby landmark,8.13,N1,23.68,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,sandstone
25219,PaleoDB,M. Carrano,Bahariasaurus,,45866,45866,1958,Mount Iguallala,Niger,Africa,based on nearby landmark,1.37,N1,0.28,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,,sandstone
25221,PaleoDB,M. Carrano,Bahariasaurus,,7056,45826,1953,In Abangarit-Tamesna,Niger,Africa,estimated from map,2.25,N1,0.52,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,,sandstone
56130,ETE,M. Carrano,Berberosaurus,,25431,15118,2004,"Douar of Tazouda, locality B",Morocco,Africa,based on nearby landmark,26.62,N1,-3.43,Jurassic,Early/Lower Jurassic,,,,,Pliensbachian,Toarcian,189.6,175.6,182.6,,,0,189.6,175.6,182.6,,sandstone
25194,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,7056,1960,El Rhaz,Niger,Africa,estimated from map,2.85,N1,4.88,Cretaceous,Early/Lower Cretaceous,,Aptian,Cretaceous 3,Aptian,Aptian,,125.45,112.6,119.025,,,0,125.45,112.6,119.025,Elrhaz,sandstone
25197,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,7056,1960,34 km southwest of El Rhaz,Niger,Africa,estimated from map,0.48,N1,3.39,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Albian,,112.6,99.7,106.15,,,0,112.6,99.7,106.15,Elrhaz,sandstone
59689,ETE,M. Carrano,Carcharodontosaurus,,24593,15703,1925,2 km from Timimoun,Algeria,Africa,based on nearby landmark,15.41,N1,0.36,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Albian,,112.6,99.7,106.15,,,0,112.6,99.7,106.15,Continental Intercalaire,not reported
59690,ETE,M. Carrano,Carcharodontosaurus,,24593,15703,1925,5 km from Timimoun,Algeria,Africa,based on nearby landmark,15.41,N1,0.36,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Albian,,112.6,99.7,106.15,,,0,112.6,99.7,106.15,Continental Intercalaire,not reported
67203,PaleoDB,M. Carrano,Carcharodontosaurus,,19183,19183,1988,"Bir Miteur, RH 45",Tunisia,Africa,estimated from map,15.96,N1,10.33,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Early/Lower Albian,,112.6,109,110.8,112,107.867,109.9335,112.6,109,110.8,Aïn el Guettar,"""carbonate"""
59341,ETE,M. Carrano,Carcharodontosaurus,,16999,16999,1967,Oued Boudjihane,Algeria,Africa,based on nearby landmark,18.4,N1,2.27,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Albian,,112.6,99.7,106.15,,,0,112.6,99.7,106.15,Continental Intercalaire,sandstone
58577,ETE,M. Carrano,Carcharodontosaurus,,26149,16632,2004,Iguidi,Niger,Africa,based on nearby landmark,2.84,N1,0.37,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Cenomanian,,99.7,94.3,97,,,0,99.7,94.3,97,Echkar,not reported
25126,PaleoDB,M. Carrano,Carcharodontosaurus,,7053,7053,1931,"Ain Gedid, Gebel Harra",Egypt,Africa,based on nearby landmark,8.02,N1,23.83,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîja,marl
47136,PaleoDB,M. Carrano,Carcharodontosaurus,,12577,12577,2001,BDP 2000-18,Egypt,Africa,stated in text,8.04,N1,23.72,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Cenomanian,,99.7,94.3,97,,,0,99.7,94.3,97,Baharîje,"""shale"""
25127,PaleoDB,M. Carrano,Carcharodontosaurus,,13775,7054,1915,Gebel el Dist (7p),Egypt,Africa,estimated from map,8.14,N1,23.67,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,sandstone
25325,PaleoDB,M. Carrano,Carcharodontosaurus,,7098,7098,1996,"Er Remlia, Gara es Sbaa",Morocco,Africa,estimated from map,17.75,N1,-4.84,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Aoufous,sandstone
155212,,P. Mannion,Carcharodontosaurus,,53517,53517,2010,Chaaft (levels 1–3),Morocco,Africa,based on nearby landmark,17.82,N1,-3.88,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
163917,,M. Carrano,Carcharodontosaurus,,53517,53517,2010,Khetitila Srhira,Morocco,Africa,based on nearby landmark,18.47,N1,-3.84,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
144705,PaleoDB,P. Mannion,Carcharodontosaurus,,53517,53517,2010,Takemout,Morocco,Africa,based on nearby landmark,18.63,N1,-3.99,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
163916,,M. Carrano,Carcharodontosaurus,,53517,53517,2010,Bou Laalou,Morocco,Africa,based on nearby landmark,18.66,N1,-4.32,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
54083,ETE,M. Carrano,Carcharodontosaurus,,33924,14609,1992,"Bee's Friday Site, Dakhleh Oasis",Egypt,Africa,stated in text,8.98,N1,25.15,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Campanian,Campanian,,84.9,70.6,77.75,,,0,84.9,70.6,77.75,Mut,"""shale"""
25221,PaleoDB,M. Carrano,Carcharodontosaurus,,45826,45826,1953,In Abangarit-Tamesna,Niger,Africa,estimated from map,2.25,N1,0.52,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,,sandstone
25355,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,7056,1960,"Oued Baouet, Téfidet",Niger,Africa,based on nearby landmark,4.04,N1,5.5,Cretaceous,,,,,,Early/Lower Berriasian,Early/Lower Cenomanian,145.5,94.3,119.9,145.5,97.567,121.5335,145.5,94.3,119.9,Continental Intercalaire,sandstone
25226,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,45920,1959,"Oued Timmersöi, west of In Tedreft",Niger,Africa,based on nearby landmark,8.55,N1,3.28,Cretaceous,Early/Lower Cretaceous,,,,,Early/Lower Berriasian,Late/Upper Barremian,145.5,125.45,135.475,145.5,125,135.25,145.5,125.45,135.475,,not reported
25192,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,45858,1957,"Djoua Valley, 120 km east of Fort Flatters",Algeria,Africa,based on nearby landmark,11.44,N1,6,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,Continental Intercalaire,not reported
25137,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,7056,1960,south of Alrar,Algeria,Africa,based on nearby landmark,13.96,N1,10.49,Cretaceous,Early/Lower Cretaceous,,,,,Early/Lower Berriasian,Late/Upper Albian,145.5,99.7,122.6,145.5,99.6,122.55,145.5,99.7,122.6,Continental Intercalaire,not reported
25200,PaleoDB,M. Carrano,Carcharodontosaurus,,30615,30615,1951,"Djebel el Haddada, Guermessa",Tunisia,Africa,based on nearby landmark,15.31,N1,9.17,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,Continental Intercalaire,sandstone
25139,PaleoDB,M. Carrano,Carcharodontosaurus,,7056,45825,1947,"Foggara Ben Draou, Aoulef Cheurfa",Algeria,Africa,based on nearby landmark,16.24,N1,2.93,Cretaceous,Early/Lower Cretaceous,,,,,Early/Lower Berriasian,Late/Upper Albian,145.5,99.7,122.6,145.5,99.6,122.55,145.5,99.7,122.6,Continental Intercalaire,not reported
13274,Fossilworks,J. Alroy,Carcharodontosaurus,,9649,9649,1989,Hamada du Guir,Morocco,Africa,based on political unit,17.49,N1,-3.82,Cretaceous,,,,,,Late/Upper Albian,Early/Lower Cenomanian,105.3,94.3,99.8,103.733,97.567,100.65,105.3,94.3,99.8,Tegana?,"""siliciclastic"""
166013,,M. Carrano,Carcharodontosaurus,,54265,54265,1978,Ksar Krerachfa,Tunisia,Africa,estimated from map,17.56,N1,12.22,Cretaceous,Early/Lower Cretaceous,,,,,Early/Lower Cretaceous,,145.5,99.7,122.6,,,0,145.5,99.7,122.6,Continental Intercalaire,conglomerate
52887,ETE,M. Carrano,Carcharodontosaurus,,13037,13037,1996,Tafilalt region (NMC/CMN),Morocco,Africa,estimated from map,17.72,N1,-3.24,Cretaceous,,,,,,Albian,Cenomanian,112.6,94.3,103.45,,,0,112.6,94.3,103.45,Kem Kem,sandstone
52887,ETE,M. Carrano,Carcharodontosaurus,,13037,13037,1996,Tafilalt region (NMC/CMN),Morocco,Africa,estimated from map,17.72,N1,-3.24,Cretaceous,,,,,,Albian,Cenomanian,112.6,94.3,103.45,,,0,112.6,94.3,103.45,Kem Kem,sandstone
51749,ETE,M. Carrano,Deltadromeus,,7098,13775,1934,Ain Murûn north,Egypt,Africa,estimated from map,8.14,N1,23.66,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,not reported
25127,PaleoDB,M. Carrano,Deltadromeus,,7098,7054,1915,Gebel el Dist (7p),Egypt,Africa,estimated from map,8.14,N1,23.67,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,sandstone
51752,ETE,M. Carrano,Deltadromeus,,7098,13775,1934,Gebel el Dist (7m),Egypt,Africa,estimated from map,8.14,N1,23.68,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,claystone
51745,ETE,M. Carrano,Deltadromeus,,7098,13775,1934,Gebel el Dist east (7m),Egypt,Africa,based on nearby landmark,8.14,N1,23.72,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,sandstone
25325,PaleoDB,M. Carrano,Deltadromeus,,7098,7098,1996,"Er Remlia, Gara es Sbaa",Morocco,Africa,estimated from map,17.75,N1,-4.84,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Aoufous,sandstone
25202,PaleoDB,M. Carrano,Elaphrosaurus,,7056,7056,1960,Ifayen Ignère,Niger,Africa,estimated from map,5.69,N1,3.66,Cretaceous,Early/Lower Cretaceous,,,Cretaceous 1,,Early/Lower Berriasian,Late/Upper Valanginian,145.5,136.4,140.95,145.5,136.4,140.95,145.5,136.4,140.95,Irhazer Shales,"""shale"""
25193,PaleoDB,M. Carrano,Elaphrosaurus,,7056,45866,1958,Ebrechko,Niger,Africa,estimated from map,5.97,N1,3.37,Cretaceous,Early/Lower Cretaceous,,,Cretaceous 1,,Early/Lower Berriasian,Late/Upper Valanginian,145.5,136.4,140.95,145.5,136.4,140.95,145.5,136.4,140.95,Irhazer Shales,"""shale"""
25194,PaleoDB,M. Carrano,Elaphrosaurus,,7056,7056,1960,El Rhaz,Niger,Africa,estimated from map,2.85,N1,4.88,Cretaceous,Early/Lower Cretaceous,,Aptian,Cretaceous 3,Aptian,Aptian,,125.45,112.6,119.025,,,0,125.45,112.6,119.025,Elrhaz,sandstone
51746,ETE,M. Carrano,Elaphrosaurus,,13775,13775,1934,Gebel Mandisha,Egypt,Africa,estimated from map,8.08,N1,23.65,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,claystone
51743,ETE,M. Carrano,Elaphrosaurus,,13775,13775,1934,Gebel el Dist north (7n),Egypt,Africa,estimated from map,8.14,N1,23.68,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,sandstone
25363,PaleoDB,M. Carrano,Elaphrosaurus,,7056,30615,1951,"Gara Kanboute, Remada",Tunisia,Africa,estimated from map,15.42,N1,8.57,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Continental Intercalaire,sandstone
164948,,M. Carrano,Elaphrosaurus,,29347,29347,1954,Kouah Trick,Morocco,Africa,based on nearby landmark,17.48,N1,-4.98,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Cenomanian,,99.7,94.3,97,,,0,99.7,94.3,97,Kem Kem,"""limestone"""
141305,PaleoDB,M. Carrano,Elaphrosaurus,,7056,7056,1960,"Tiguidi cliff, Zinder piste",Niger,Africa,estimated from map,1.75,N1,2.56,Cretaceous,,,,,,Early/Lower Barremian,Early/Lower Cenomanian,130,94.3,112.15,130,97.567,113.7835,130,94.3,112.15,,sandstone
25221,PaleoDB,M. Carrano,Elaphrosaurus,,7056,45826,1953,In Abangarit-Tamesna,Niger,Africa,estimated from map,2.25,N1,0.52,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,,sandstone
25226,PaleoDB,M. Carrano,Elaphrosaurus,,7056,45920,1959,"Oued Timmersöi, west of In Tedreft",Niger,Africa,based on nearby landmark,8.55,N1,3.28,Cretaceous,Early/Lower Cretaceous,,,,,Early/Lower Berriasian,Late/Upper Barremian,145.5,125.45,135.475,145.5,125,135.25,145.5,125.45,135.475,,not reported
25137,PaleoDB,M. Carrano,Elaphrosaurus,,7056,7056,1960,south of Alrar,Algeria,Africa,based on nearby landmark,13.96,N1,10.49,Cretaceous,Early/Lower Cretaceous,,,,,Early/Lower Berriasian,Late/Upper Albian,145.5,99.7,122.6,145.5,99.6,122.55,145.5,99.7,122.6,Continental Intercalaire,not reported
25145,PaleoDB,M. Carrano,Elaphrosaurus,,7056,30615,1951,Dahar cliff,Tunisia,Africa,based on nearby landmark,15.18,N1,9.12,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,Continental Intercalaire,sandstone
25198,PaleoDB,M. Carrano,Elaphrosaurus,,7056,45858,1957,Giado cliff,Libya,Africa,based on nearby landmark,15.29,N1,12.7,Cretaceous,,,,,,Early/Lower Berriasian,Early/Lower Cenomanian,145.5,94.3,119.9,145.5,97.567,121.5335,145.5,94.3,119.9,Continental Intercalaire,not reported
81087,ETE,M. Carrano,Eocarcharia,,27280,27280,2008,"Gadoufaoua, G88",Niger,Africa,stated in text,1.37,N1,3.69,Cretaceous,Early/Lower Cretaceous,,,,,Aptian,Albian,125.45,99.7,112.575,,,0,125.45,99.7,112.575,Elrhaz,not reported
81086,ETE,M. Carrano,Eocarcharia,,41617,27280,2008,"Gadoufaoua, G138",Niger,Africa,stated in text,1.5,N1,3.73,Cretaceous,Early/Lower Cretaceous,,,,,Aptian,Albian,125.45,99.7,112.575,,,0,125.45,99.7,112.575,Elrhaz,not reported
51746,ETE,M. Carrano,Erectopus,,13775,13775,1934,Gebel Mandisha,Egypt,Africa,estimated from map,8.08,N1,23.65,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,claystone
51750,ETE,M. Carrano,Erectopus,,13775,13775,1934,Ain Murûn east (7p),Egypt,Africa,estimated from map,8.13,N1,23.67,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,not reported
25127,PaleoDB,M. Carrano,Erectopus,,13775,7054,1915,Gebel el Dist (7p),Egypt,Africa,estimated from map,8.14,N1,23.67,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,sandstone
25221,PaleoDB,M. Carrano,Inosaurus,,7056,45826,1953,In Abangarit-Tamesna,Niger,Africa,estimated from map,2.25,N1,0.52,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,,sandstone
25226,PaleoDB,M. Carrano,Inosaurus,n. gen.,7056,45920,1959,"Oued Timmersöi, west of In Tedreft",Niger,Africa,based on nearby landmark,8.55,N1,3.28,Cretaceous,Early/Lower Cretaceous,,,,,Early/Lower Berriasian,Late/Upper Barremian,145.5,125.45,135.475,145.5,125,135.25,145.5,125.45,135.475,,not reported
81086,ETE,M. Carrano,Kryptops,,27280,27280,2008,"Gadoufaoua, G138",Niger,Africa,stated in text,1.5,N1,3.73,Cretaceous,Early/Lower Cretaceous,,,,,Aptian,Albian,125.45,99.7,112.575,,,0,125.45,99.7,112.575,Elrhaz,not reported
58577,ETE,M. Carrano,Rugops,,16632,16632,2004,Iguidi,Niger,Africa,based on nearby landmark,2.84,N1,0.37,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Cenomanian,,99.7,94.3,97,,,0,99.7,94.3,97,Echkar,not reported
135639,PaleoDB,R. Benson,Sauroniops,,43380,48103,2012,Southeast region of Taouz,Morocco,Africa,stated in text,17.85,N1,-3.96,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Cenomanian,,99.7,94.3,97,,,0,99.7,94.3,97,Ifezouane,not reported
51751,ETE,M. Carrano,Sigilmassasaurus,,13037,13775,1934,Gebel Harra,Egypt,Africa,based on nearby landmark,8.02,N1,23.83,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîja,claystone
51748,ETE,M. Carrano,Sigilmassasaurus,,13037,13775,1934,Ain Murûn,Egypt,Africa,estimated from map,8.13,N1,23.66,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,not reported
52887,ETE,M. Carrano,Sigilmassasaurus,,13037,13037,1996,Tafilalt region (NMC/CMN),Morocco,Africa,estimated from map,17.72,N1,-3.24,Cretaceous,,,,,,Albian,Cenomanian,112.6,94.3,103.45,,,0,112.6,94.3,103.45,Kem Kem,sandstone
32322,ETE,M. Carrano,Spinosaurus,,8711,53516,2000,"Ouaja, Jebel Miteur",Tunisia,Africa,based on nearby landmark,15.93,N1,10.35,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Early/Lower Albian,,112.6,109,110.8,112,107.867,109.9335,112.6,109,110.8,Aïn el Guettar,sandstone
67203,PaleoDB,M. Carrano,Spinosaurus,,19183,19183,1988,"Bir Miteur, RH 45",Tunisia,Africa,estimated from map,15.96,N1,10.33,Cretaceous,Early/Lower Cretaceous,,Albian,Cretaceous 4,Albian,Early/Lower Albian,,112.6,109,110.8,112,107.867,109.9335,112.6,109,110.8,Aïn el Guettar,"""carbonate"""
58577,ETE,M. Carrano,Spinosaurus,,26149,16632,2004,Iguidi,Niger,Africa,based on nearby landmark,2.84,N1,0.37,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Cenomanian,,99.7,94.3,97,,,0,99.7,94.3,97,Echkar,not reported
49330,PaleoDB,M. Carrano,Spinosaurus,,7054,7054,1915,"south slope, Gebel Maisara (7p)",Egypt,Africa,estimated from map,8.09,N1,23.67,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,sandstone
25127,PaleoDB,M. Carrano,Spinosaurus,,7054,7054,1915,Gebel el Dist (7p),Egypt,Africa,estimated from map,8.14,N1,23.67,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Baharîje,sandstone
58519,ETE,M. Carrano,Spinosaurus,,16599,16599,2005,Keneg ed Dal,Morocco,Africa,stated in text,17.41,N1,-5.32,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Kem Kem,not reported
25325,PaleoDB,M. Carrano,Spinosaurus,,7098,7098,1996,"Er Remlia, Gara es Sbaa",Morocco,Africa,estimated from map,17.75,N1,-4.84,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Aoufous,sandstone
155212,,P. Mannion,Spinosaurus,,53517,53517,2010,Chaaft (levels 1–3),Morocco,Africa,based on nearby landmark,17.82,N1,-3.88,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
60002,ETE,M. Carrano,Spinosaurus,,16599,16599,2005,Taouz-Hammada du Guir (=near Al Taouz),Morocco,Africa,estimated from map,17.84,N1,-3.86,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Kem Kem,sandstone
163917,,M. Carrano,Spinosaurus,,53517,53517,2010,Khetitila Srhira,Morocco,Africa,based on nearby landmark,18.47,N1,-3.84,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
115155,PaleoDB,R. Benson,Spinosaurus,,40738,37287,1999,Bordj-Yerdi sand quarry,Morocco,Africa,based on nearby landmark,18.56,N1,-3.92,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Cenomanian,,99.7,94.3,97,,,0,99.7,94.3,97,Kem Kem,sandstone
163918,,M. Carrano,Spinosaurus,,53517,53517,2010,Jebel al Qabla,Morocco,Africa,based on nearby landmark,18.57,N1,-3.89,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
144705,PaleoDB,P. Mannion,Spinosaurus,,53517,53517,2010,Takemout,Morocco,Africa,based on nearby landmark,18.63,N1,-3.99,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
163916,,M. Carrano,Spinosaurus,,53517,53517,2010,Bou Laalou,Morocco,Africa,based on nearby landmark,18.66,N1,-4.32,Cretaceous,Late/Upper Cretaceous,,Cenomanian,Cretaceous 5,Cenomanian,Early/Lower Cenomanian,,99.7,94.3,97,99.6,97.567,98.5835,99.7,94.3,97,Ifezouane,not reported
97761,PaleoDB,M. Carrano,Spinosaurus,,33925,33925,2001,"Lungfish Bluff, Wadi el-Battikh",Egypt,Africa,stated in text,8.83,N1,25.34,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Campanian,Campanian,,84.9,70.6,77.75,,,0,84.9,70.6,77.75,Mut,"""shale"""
54083,ETE,M. Carrano,Spinosaurus,,33924,14609,1992,"Bee's Friday Site, Dakhleh Oasis",Egypt,Africa,stated in text,8.98,N1,25.15,Cretaceous,Late/Upper Cretaceous,,Campanian,Cretaceous 7,Campanian,Campanian,,84.9,70.6,77.75,,,0,84.9,70.6,77.75,Mut,"""shale"""
125935,PaleoDB,M. Uhen,Spinosaurus,,53517,53516,2000,Bateun el Hmaima,Tunisia,Africa,based on nearby landmark,16.49,N1,11.3,Cretaceous,Early/Lower Cretaceous,,,,,Late/Upper Aptian,Early/Lower Albian,122.46,109,115.73,118.5,107.867,113.1835,122.46,109,115.73,Aïn el Guettar,not reported
52887,ETE,M. Carrano,Spinosaurus,,13037,13037,1996,Tafilalt region (NMC/CMN),Morocco,Africa,estimated from map,17.72,N1,-3.24,Cretaceous,,,,,,Albian,Cenomanian,112.6,94.3,103.45,,,0,112.6,94.3,103.45,Kem Kem,sandstone
25221,PaleoDB,M. Carrano,Spinostropheus,,7056,45826,1953,In Abangarit-Tamesna,Niger,Africa,estimated from map,2.25,N1,0.52,Cretaceous,,,,,,Early/Lower Albian,Early/Lower Cenomanian,112.6,94.3,103.45,112,97.567,104.7835,112.6,94.3,103.45,,sandstone
